# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              1112110
# River:                 KOLIMBINE
# Station:               KABATE
# Country:               ML
# Latitude (dec. °):       14.310000
# Longitude (de. °):      -11.130000
# Catchment area (km²):    25000.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      1112100
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1981 - 1990
# No. of years:          10
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1981;     0.000;01;    13.685;    55.300;09;  11
1982;  -999.000;00;  -999.000;  -999.000;00;   0
1983;  -999.000;00;  -999.000;  -999.000;00;   0
1984;  -999.000;00;  -999.000;  -999.000;00;   0
1985;  -999.000;00;  -999.000;  -999.000;00;   0
1986;  -999.000;00;  -999.000;  -999.000;00;   0
1987;     0.000;01;     1.970;    11.161;08;  12
1988;  -999.000;00;  -999.000;  -999.000;00;   0
1989;  -999.000;00;  -999.000;  -999.000;00;   0
1990;     0.000;01;     1.478;     8.581;07;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     0.000;     5.483;     0.173;         7;    55.300;   35
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     0.000;1981;  -999.000;     0.000;1981;  -999.000;    3
02;     0.000;1981;  -999.000;     0.000;1981;  -999.000;    3
03;     0.000;1981;  -999.000;     0.000;1981;  -999.000;    3
04;     0.000;1981;  -999.000;     0.000;1981;  -999.000;    3
05;     0.000;1981;  -999.000;     0.000;1981;  -999.000;    3
06;     0.000;1981;  -999.000;     0.000;1981;  -999.000;    3
07;     2.194;1987;  -999.000;    16.645;1981;  -999.000;    3
08;     1.548;1990;  -999.000;    41.355;1981;  -999.000;    3
09;     2.467;1990;  -999.000;    55.300;1981;  -999.000;    3
10;     4.452;1987;  -999.000;    29.000;1981;  -999.000;    3
11;     0.167;1990;  -999.000;     8.233;1981;  -999.000;    3
12;     0.000;1987;  -999.000;     0.000;1987;  -999.000;    2
