# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              1259151
# River:                 ORANGE
# Station:               WHITEHALL (66819304)
# Country:               LS
# Latitude (dec. °):      -30.063333
# Longitude (de. °):       28.508333
# Catchment area (km²):    10774.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      1259150
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1980 - 1990
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1980;  -999.000;00;  -999.000;  -999.000;00;   3
1981;     7.438;07;    71.179;   230.237;01;  12
1982;     1.538;08;    31.051;   129.095;11;  12
1983;     2.165;07;    24.473;   145.911;12;  12
1984;     2.258;07;    36.361;   224.089;01;  12
1985;     0.237;06;    87.524;   343.006;12;  12
1986;     1.937;08;    95.712;   438.895;11;  12
1987;     1.165;06;    97.540;   518.138;10;  12
1988;    14.600;08;   106.483;   395.628;03;  12
1989;     4.514;09;    91.342;   365.712;02;  12
1990;  -999.000;00;  -999.000;  -999.000;00;   9
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     0.237;    68.399;     2.157;       200;   518.138;  120
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    12.226;1983;    98.313;   230.237;1981;    89.866;   10
02;    16.870;1982;   133.338;   365.712;1989;   123.957;   10
03;    18.119;1983;    83.495;   395.628;1988;   112.107;   10
04;    12.064;1983;    46.808;    95.026;1990;    26.749;   10
05;     2.075;1985;    21.195;    52.915;1990;    15.831;   10
06;     0.237;1985;    16.896;    81.200;1989;    24.284;   10
07;     0.970;1985;     9.524;    33.916;1989;    11.515;   10
08;     0.381;1985;    11.658;    28.671;1987;    11.209;   10
09;     0.453;1985;    54.144;   303.156;1987;    92.746;   10
10;     8.111;1984;    91.289;   518.138;1987;   157.880;   10
11;    27.933;1984;   140.362;   438.895;1986;   132.787;   10
12;    12.521;1982;   113.765;   343.006;1985;    99.577;   10
