# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              1673100
# River:                 WHITE NILE
# Station:               MOGREN
# Country:               SD
# Latitude (dec. °):       15.600000
# Longitude (de. °):       32.550000
# Catchment area (km²):  1588194.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      1662500
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1973 - 1982
# No. of years:          10
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1973;   300.000;08;   836.083;  1184.000;04;  12
1974;   448.000;08;   937.667;  1296.000;11;  12
1975;   346.000;08;   977.333;  1377.000;12;  12
1976;   485.000;08;   966.417;  1306.000;05;  12
1977;   333.000;07;   841.000;  1090.000;05;  12
1978;   377.000;07;   943.000;  1254.000;01;  12
1979;   545.000;07;   985.917;  1369.000;04;  12
1980;   709.000;08;   881.750;  1146.000;05;  12
1981;   451.000;08;   846.333;  1243.000;10;  12
1982;   421.000;08;   757.167;  1033.000;04;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
   300.000;   897.267;    28.296;        18;  1377.000;  120
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;   735.000;1973;  1010.800;  1254.000;1978;   182.862;   10
02;   624.000;1973;   776.300;  1101.000;1976;   131.718;   10
03;   705.000;1973;   793.300;  1015.000;1979;    84.260;   10
04;  1033.000;1982;  1160.600;  1369.000;1979;   126.725;   10
05;   686.000;1982;  1045.700;  1306.000;1976;   175.053;   10
06;   659.000;1981;   763.400;   902.000;1978;    71.385;   10
07;   333.000;1977;   569.100;   802.000;1980;   138.979;   10
08;   300.000;1973;   535.000;  1000.000;1978;   204.300;   10
09;   632.000;1982;   844.400;   995.000;1976;   130.600;   10
10;   937.000;1977;  1120.100;  1295.000;1975;   119.261;   10
11;   694.000;1982;  1065.200;  1373.000;1975;   192.883;   10
12;   925.000;1980;  1083.300;  1377.000;1975;   127.201;   10
