# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              1896510
# River:                 ELEFANTES / OLIFANTSRIVIER
# Station:               MACUCO (58521039)
# Country:               MZ
# Latitude (dec. °):      -23.950000
# Longitude (de. °):       31.900000
# Catchment area (km²):    68550.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      1896500
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1961 - 1970
# No. of years:          10
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1961;     8.133;10;    83.429;   230.739;03;  12
1962;     0.636;09;    21.001;    83.580;11;  12
1963;     0.000;05;     5.025;    32.642;01;  12
1964;     0.525;09;    42.363;   200.994;12;  12
1965;     2.025;08;    24.712;   125.494;01;  12
1966;     0.001;06;    19.390;   113.221;02;  12
1967;     0.906;10;   112.472;   759.768;02;  12
1968;     0.000;09;    16.716;    68.668;12;  12
1969;     0.050;09;    94.348;   364.226;12;  12
1970;  -999.000;00;  -999.000;  -999.000;00;   9
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     0.000;    44.250;     1.395;        20;   759.768;  117
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    25.563;1968;    75.646;   187.252;1967;    56.042;   10
02;    11.808;1963;   137.726;   759.768;1967;   227.712;   10
03;     2.361;1966;    73.706;   270.294;1969;    99.560;   10
04;     0.148;1966;    46.453;   182.733;1961;    67.085;   10
05;     0.000;1963;    16.072;    55.032;1967;    21.295;   10
06;     0.000;1963;     7.502;    40.483;1961;    12.357;   10
07;     0.000;1963;     5.792;    31.858;1961;     9.557;   10
08;     0.000;1963;     3.055;    16.871;1961;     5.212;   10
09;     0.000;1963;     2.041;    10.401;1961;     3.394;   10
10;     0.000;1963;    18.911;    87.791;1969;    31.458;    9
11;     0.000;1963;    49.770;   180.667;1969;    63.509;    9
12;     0.000;1963;    97.683;   364.226;1969;   114.667;    9
