# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              1931710
# River:                 WHITE VOLTA
# Station:               BISSIGA
# Country:               BF
# Latitude (dec. °):       12.750000
# Longitude (de. °):       -1.150000
# Catchment area (km²):    16965.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      1931725
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1976 - 1985
# No. of years:          10
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1976;     0.000;01;     1.083;     6.000;09;  12
1977;     0.000;01;     3.583;    26.000;09;  12
1978;  -999.000;00;  -999.000;  -999.000;00;   7
1979;     0.000;01;     2.000;    10.000;09;  12
1980;     0.000;01;     4.083;    28.000;08;  12
1981;     0.000;01;     9.167;    60.000;08;  12
1982;     0.000;01;     2.000;    14.000;09;  10
1983;     0.000;01;     6.583;    52.000;08;  12
1984;     0.000;01;     2.667;    16.000;09;  12
1985;     0.000;01;     8.250;    37.000;07;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     0.000;     4.779;     0.151;         9;    60.000;  113
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     0.000;1976;     0.000;     0.000;1976;     0.000;   10
02;     0.000;1976;     0.000;     0.000;1976;     0.000;   10
03;     0.000;1976;     0.000;     0.000;1976;     0.000;   10
04;     0.000;1976;     0.000;     0.000;1976;     0.000;    9
05;     0.000;1976;     0.111;     1.000;1982;     0.333;    9
06;     0.000;1977;     2.000;     5.000;1980;     1.870;    9
07;     1.000;1976;    10.875;    37.000;1985;    12.755;    8
08;     4.000;1976;    28.333;    60.000;1981;    22.494;    9
09;     6.000;1976;    16.400;    29.000;1985;     8.099;   10
10;     0.000;1981;     1.500;     4.000;1979;     1.354;   10
11;     0.000;1976;     0.000;     0.000;1976;     0.000;   10
12;     0.000;1976;     0.000;     0.000;1976;     0.000;    9
