# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              1931845
# River:                 NOUHAO
# Station:               BITTOU
# Country:               BF
# Latitude (dec. °):       11.180000
# Longitude (de. °):       -0.280000
# Catchment area (km²):     4050.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      1931790
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1974 - 1985
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1974;     0.000;01;    17.333;   112.000;08;  12
1975;     0.000;01;    19.167;   110.000;09;  12
1976;  -999.000;00;  -999.000;  -999.000;00;   6
1977;     0.000;01;    11.667;    74.000;08;  12
1978;     0.000;01;     3.500;    14.000;07;  12
1979;  -999.000;00;  -999.000;  -999.000;00;   4
1980;  -999.000;00;  -999.000;  -999.000;00;   9
1981;     0.000;01;     6.250;    23.000;08;  12
1982;  -999.000;00;  -999.000;  -999.000;00;   7
1983;     0.000;01;     5.417;    30.000;08;  12
1984;     0.000;01;     3.000;    14.000;08;  11
1985;     0.000;01;    15.818;    76.000;09;  11
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     0.000;    10.000;     0.315;        78;   112.000;  120
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     0.000;1974;     0.000;     0.000;1974;     0.000;   11
02;     0.000;1974;     0.000;     0.000;1974;     0.000;   11
03;     0.000;1974;     0.000;     0.000;1974;     0.000;   11
04;     0.000;1974;     0.000;     0.000;1974;     0.000;   11
05;     0.000;1976;     2.800;    12.000;1975;     4.022;   10
06;     0.000;1974;     7.000;    21.000;1985;     6.422;    9
07;     5.000;1984;    22.700;    58.000;1975;    16.799;   10
08;     9.000;1978;    43.000;   112.000;1974;    30.272;   11
09;     3.000;1978;    42.000;   110.000;1975;    36.421;    9
10;     0.000;1977;     4.000;    16.000;1974;     5.859;    7
11;     0.000;1974;     0.300;     3.000;1981;     0.948;   10
12;     0.000;1974;     0.000;     0.000;1974;     0.000;   10
