# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2217102
# River:                 KUNDUZ
# Station:               BAGHLAN
# Country:               AF
# Latitude (dec. °):       36.100000
# Longitude (de. °):       68.666667
# Catchment area (km²):    19740.000
# Altitude (m.a.s.l):         562.00
# Next d/s station:      2217101
# Remarks:               USGS-ID: 360600068400000
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1968 - 1978
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1968;  -999.000;00;  -999.000;  -999.000;00;   9
1969;    33.682;02;    82.294;   260.933;06;  12
1970;    30.552;10;    50.184;   112.153;06;  12
1971;    15.032;08;    39.130;   123.158;05;  12
1972;    21.987;04;    54.934;   217.033;06;  12
1973;    30.589;02;    72.774;   242.367;06;  12
1974;    22.403;09;    41.266;   110.767;06;  12
1975;    25.833;09;    57.322;   183.900;06;  12
1976;    23.850;09;    54.931;   148.100;06;  12
1977;    20.710;08;    47.273;   169.667;06;  12
1978;  -999.000;00;  -999.000;  -999.000;00;   9
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    15.032;    60.157;     1.897;        96;   374.667;  126
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    26.042;1972;    32.042;    38.371;1970;     3.470;   10
02;    24.786;1978;    29.806;    35.446;1970;     3.405;   10
03;    26.384;1972;    32.269;    37.745;1970;     3.779;   10
04;    21.987;1972;    45.210;    82.250;1973;    17.588;   11
05;    58.919;1972;   110.677;   168.597;1973;    34.928;   11
06;    79.773;1971;   184.027;   374.667;1968;    85.522;   11
07;    25.065;1971;   101.595;   247.935;1968;    64.581;   11
08;    15.032;1971;    39.732;    97.139;1968;    25.434;   11
09;    15.800;1971;    29.117;    48.890;1968;    10.639;   11
10;    21.032;1971;    32.479;    43.819;1968;     7.149;   10
11;    27.000;1971;    35.179;    48.507;1969;     6.729;   10
12;    25.865;1971;    34.816;    45.074;1968;     5.310;   10
