# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2569003
# River:                 MEKONG
# Station:               KOMPONG CHAM
# Country:               KH
# Latitude (dec. °):       11.995000
# Longitude (de. °):      105.465000
# Catchment area (km²):   660000.000
# Altitude (m.a.s.l):          -0.93
# Next d/s station:      2569002
# Remarks:               interrupted 1974-1991
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1964 - 1974
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1964;  1842.000;04; 13771.797; 38773.332;09;  12
1965;  1956.333;04; 13038.177; 33453.332;09;  12
1966;  -999.000;00;  -999.000;  -999.000;00;   9
1967;  1726.667;04; 12447.392; 38156.668;09;  12
1968;  1774.000;04; 11545.322; 39843.332;09;  12
1969;  1633.871;05; 13498.506; 40654.840;08;  12
1970;  1528.333;04; 14698.788; 42440.000;09;  12
1971;  1678.667;04; 14331.817; 37364.516;08;  12
1972;  1837.419;03; 14220.678; 42496.773;08;  12
1973;  2140.000;04; 13412.715; 41446.668;09;  12
1974;  -999.000;00;  -999.000;  -999.000;00;   3
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
  1528.333; 13604.107;   429.019;       650; 50526.668;  120
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;  2733.226;1969;  3838.871;  4809.677;1971;   679.569;   10
02;  1954.643;1969;  2544.593;  3255.357;1967;   404.024;   10
03;  1650.000;1970;  2022.968;  2423.871;1967;   271.846;   10
04;  1528.333;1970;  1849.333;  2194.000;1972;   216.054;   10
05;  1633.871;1969;  2861.516;  4469.032;1966;   953.206;   10
06;  6821.000;1968; 10503.833; 16624.000;1965;  2794.581;   10
07; 14764.517;1968; 23908.031; 33996.773;1971;  6383.135;   10
08; 27606.451;1964; 34756.129; 42496.773;1972;  5815.615;   10
09; 33453.332;1965; 39714.668; 50526.668;1966;  4613.219;   10
10; 16474.193;1965; 23132.902; 33025.805;1964;  5197.849;   10
11;  9020.000;1967; 11514.667; 14713.333;1964;  1592.361;   10
12;  5051.613;1968;  6601.774;  8601.936;1972;  1170.537;   10
