# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2587104
# River:                 ISHIKARI
# Station:               INO
# Country:               JP
# Latitude (dec. °):       43.770000
# Longitude (de. °):      142.270000
# Catchment area (km²):     3378.600
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      2587103
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1993;    58.750;02;   120.053;   240.302;05;  12
1994;    48.484;03;   154.867;   435.935;05;  12
1995;    49.221;02;   132.550;   220.646;04;  12
1996;    48.147;02;   137.908;   306.404;05;  12
1997;    53.688;02;   127.265;   328.777;05;  12
1998;    56.997;02;   124.562;   286.956;04;  12
1999;    56.096;02;   149.163;   355.726;04;  12
2000;    51.158;03;   149.793;   327.959;05;  12
2001;    37.825;02;   150.617;   307.522;04;  12
2002;    54.726;02;   112.636;   309.691;04;  12
2003;    47.486;02;   111.079;   257.275;05;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    37.825;   133.681;     4.216;      1248;   435.935;  132
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    55.572;1995;    59.562;    66.458;1993;     2.973;   11
02;    37.825;2001;    51.393;    58.750;1993;     5.829;   11
03;    48.484;1994;    70.479;    94.386;1995;    14.078;   11
04;   181.030;1993;   263.447;   355.726;1999;    51.488;   11
05;   119.983;2002;   272.488;   435.935;1994;    87.413;   11
06;    74.821;1998;   148.455;   226.455;1993;    47.388;   11
07;    63.185;2003;   134.918;   260.845;2000;    69.713;   11
08;    89.169;1993;   143.400;   187.668;2002;    34.066;   11
09;    65.073;1993;   138.623;   262.983;2001;    74.780;   11
10;    68.993;2002;   123.785;   179.745;1995;    27.088;   11
11;    94.874;2001;   120.991;   194.198;1995;    29.536;   11
12;    68.399;2001;    76.634;    88.886;1997;     7.424;   11
