# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2588204
# River:                 SETA
# Station:               TORIIGAWA
# Country:               JP
# Latitude (dec. °):       34.970000
# Longitude (de. °):      135.910000
# Catchment area (km²):     3846.200
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      2588200
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1993;    61.903;12;   174.853;   478.500;07;  12
1994;    44.207;09;    91.880;   152.650;06;  12
1995;    60.803;01;   146.861;   510.648;05;  12
1996;    61.113;01;   108.309;   227.651;06;  12
1997;    64.629;12;   159.473;   463.294;07;  12
1998;    79.407;11;   169.176;   329.031;06;  12
1999;    79.233;11;   141.410;   267.245;07;  12
2000;    65.033;11;   103.303;   212.067;06;  12
2001;    86.323;01;   124.023;   228.440;06;  12
2002;    57.306;10;    96.120;   194.745;07;  12
2003;    66.264;02;   158.014;   430.474;08;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    44.207;   133.947;     4.224;      1098;   510.648;  132
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    60.803;1995;    87.255;   147.155;1998;    24.784;   11
02;    66.264;2003;    96.451;   143.275;1997;    23.797;   11
03;    74.187;1995;   119.406;   181.032;2001;    37.975;   11
04;    74.150;1995;   120.237;   192.123;1998;    40.410;   11
05;    99.358;2001;   191.743;   510.648;1995;   117.170;   11
06;    93.320;2002;   214.019;   329.031;1998;    61.301;   11
07;    87.929;1994;   239.206;   478.500;1993;   151.912;   11
08;    82.248;1995;   169.267;   430.474;2003;   116.780;   11
09;    44.207;1994;   125.379;   235.822;1998;    68.218;   11
10;    55.510;1994;    92.050;   257.009;1998;    56.350;   11
11;    60.860;2002;    71.699;    96.090;2001;    10.173;   11
12;    61.271;2002;    80.656;   119.226;2003;    18.949;   11
