# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2588551
# River:                 TONE
# Station:               FUKAWA (TONE NORTH BRANCH)
# Country:               JP
# Latitude (dec. °):       35.850000
# Longitude (de. °):      140.140000
# Catchment area (km²):    12458.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1993;    59.424;04;   241.754;   554.992;09;  12
1994;    80.158;12;   181.412;   536.406;09;  12
1995;    76.285;02;   213.772;   538.978;06;  12
1996;    64.528;02;   132.483;   325.868;09;  12
1997;    72.743;03;   172.202;   351.175;09;  12
1998;   118.858;12;   382.496;  1453.358;09;  12
1999;    78.023;02;   267.125;   777.186;07;  12
2000;    78.705;02;   264.299;   712.829;09;  12
2001;   107.285;02;   293.393;  1158.101;09;  12
2002;   118.398;03;   235.394;   697.449;07;  12
2003;   107.783;01;   216.224;   560.343;08;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    59.424;   236.414;     7.456;       598;  1453.358;  132
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    68.043;1996;   102.384;   150.441;2002;    26.366;   11
02;    64.528;1996;    98.242;   156.475;1998;    27.526;   11
03;    72.743;1997;   113.927;   194.943;1998;    33.535;   11
04;    59.424;1993;   171.870;   389.017;1998;    89.995;   11
05;   115.822;1993;   205.995;   347.148;2000;    80.684;   11
06;   146.289;2002;   230.992;   538.978;1995;   116.378;   11
07;   118.511;1994;   373.027;   777.186;1999;   228.846;   11
08;    74.870;1996;   371.950;   731.995;1999;   224.624;   11
09;   285.610;2003;   582.878;  1453.358;1998;   386.303;   11
10;   139.399;1997;   307.217;   541.361;1998;   158.571;   11
11;    94.312;1995;   157.108;   257.121;1993;    53.965;   11
12;    80.158;1994;   121.378;   239.257;2003;    43.367;   11
