# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2588651
# River:                 ABUKUMA
# Station:               TATEYAMA
# Country:               JP
# Latitude (dec. °):       37.923056
# Longitude (de. °):      140.756944
# Catchment area (km²):     4132.500
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1993;    79.366;01;   140.760;   254.353;08;  12
1994;    62.664;11;   101.254;   259.664;09;  12
1995;    47.212;12;   109.052;   207.930;07;  12
1996;    43.317;08;    80.343;   139.898;05;  12
1997;    45.166;01;    91.214;   151.570;09;  12
1998;    70.876;01;   190.462;   772.265;08;  12
1999;    54.060;02;   147.901;   366.098;07;  12
2000;    54.214;02;   133.769;   260.597;07;  12
2001;    54.935;12;   113.933;   204.310;09;  12
2002;    68.876;12;   130.370;   396.753;07;  12
2003;    62.724;05;   130.945;   294.673;08;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    43.317;   124.546;     3.928;       950;   772.265;  132
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    45.166;1997;    73.445;   140.723;2002;    24.938;   11
02;    45.436;1997;    72.006;   116.456;1993;    22.775;   11
03;    61.338;1997;    98.353;   138.255;2003;    20.972;   11
04;    89.275;2002;   127.547;   210.570;2000;    44.558;   11
05;    62.724;2003;   111.001;   154.895;1995;    34.458;   11
06;    70.118;1994;   110.707;   172.172;1995;    32.561;   11
07;    70.708;1994;   197.928;   396.753;2002;   109.202;   11
08;    43.317;1996;   200.485;   772.265;1998;   203.190;   11
09;   114.981;2002;   218.023;   432.713;1998;    91.724;   11
10;    53.885;1996;   122.127;   207.185;2002;    55.382;   11
11;    61.730;1995;    89.848;   147.515;1993;    28.798;   11
12;    46.540;1996;    73.078;   132.897;2003;    24.754;   11
