# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2589201
# River:                 GONO (GO)
# Station:               TSUGA
# Country:               JP
# Latitude (dec. °):       34.945556
# Longitude (de. °):      132.645000
# Catchment area (km²):     2890.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      2589200
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1993;    47.398;04;   157.137;   444.700;08;  12
1994;    12.515;08;    56.220;   164.788;02;  12
1995;    33.413;11;    85.508;   338.966;07;  12
1996;    35.384;10;    86.037;   176.380;06;  12
1997;    68.973;01;   156.475;   476.254;07;  12
1998;    34.753;12;   109.990;   221.693;10;  12
1999;    43.377;12;   109.061;   293.809;06;  12
2000;    43.408;08;    95.649;   172.680;06;  12
2001;    60.851;04;   118.889;   272.003;06;  12
2002;  -999.000;00;  -999.000;  -999.000;00;   9
2003;    43.834;10;   144.751;   399.465;07;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    12.515;   109.967;     3.468;      1200;   476.254;  129
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    47.932;1999;    89.988;   148.915;1998;    33.268;   11
02;    60.254;1995;   103.843;   164.788;1994;    32.769;   11
03;    77.715;1995;   133.659;   194.084;2003;    34.010;   11
04;    47.398;1993;    95.025;   159.304;2003;    35.716;   10
05;    54.309;1994;   110.367;   218.107;1997;    49.328;   10
06;    40.470;1994;   151.018;   293.809;1999;    82.034;   10
07;    15.462;1994;   218.164;   476.254;1997;   162.323;   11
08;    12.515;1994;   110.433;   444.700;1993;   127.035;   11
09;    20.986;1994;   105.376;   208.271;1993;    62.860;   11
10;    22.215;1994;    75.117;   221.693;1998;    59.481;   11
11;    18.393;1994;    58.384;   118.025;2000;    30.049;   11
12;    22.284;1994;    70.645;   106.103;1997;    31.116;   11
