# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              2837100
# River:                 CHENAB RIVER
# Station:               AKHNOOR
# Country:               IN
# Latitude (dec. °):       32.900000
# Longitude (de. °):       74.750000
# Catchment area (km²):    22681.000
# Altitude (m.a.s.l):         305.00
# Next d/s station:      2337100
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1968 - 1979
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1968;   134.000;12;   812.250;  2172.000;07;  12
1969;   119.000;12;   824.333;  2393.000;07;  12
1970;   104.000;01;   630.833;  1698.000;08;  12
1971;   100.000;01;   610.083;  1951.000;08;  12
1972;   106.000;01;   729.250;  1988.000;07;  12
1973;   123.000;12;  1135.333;  2890.000;06;  12
1974;   147.000;01;   627.583;  1776.000;07;  12
1975;  -999.000;00;  -999.000;  -999.000;00;   0
1976;   163.000;12;   882.167;  2454.000;08;  12
1977;   190.000;12;   756.500;  2430.000;07;  12
1978;   175.000;01;   944.333;  2532.000;07;  12
1979;   159.000;12;   809.917;  2140.000;07;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
   100.000;   796.599;    25.122;      1108;  2890.000;  132
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;   100.000;1971;   165.727;   290.000;1973;    56.674;   11
02;   109.000;1971;   217.364;   329.000;1976;    68.891;   11
03;   182.000;1970;   372.182;   580.000;1973;   136.250;   11
04;   311.000;1971;   565.091;   928.000;1973;   212.973;   11
05;   469.000;1971;   886.364;  1470.000;1973;   324.430;   11
06;  1052.000;1974;  1682.091;  2890.000;1973;   519.353;   11
07;  1515.000;1970;  2134.909;  2675.000;1973;   371.234;   11
08;  1557.000;1972;  1994.273;  2670.000;1973;   346.494;   11
09;   604.000;1971;   897.273;  1228.000;1973;   191.437;   11
10;   250.000;1971;   301.273;   375.000;1977;    38.387;   11
11;   147.000;1973;   190.545;   261.000;1977;    36.014;   11
12;   112.000;1971;   152.091;   195.000;1972;    30.451;   11
