# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              6688900
# River:                 CORUHSUYU
# Station:               KARSIKOEY
# Country:               TR
# Latitude (dec. °):       41.455000
# Longitude (de. °):       41.714722
# Catchment area (km²):    19654.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1975 - 1986
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1975;  -999.000;00;  -999.000;  -999.000;00;   3
1976;    68.759;02;   218.432;   646.226;05;  12
1977;  -999.000;00;  -999.000;  -999.000;00;   9
1978;  -999.000;00;  -999.000;  -999.000;00;   3
1979;    64.267;09;   212.475;   539.355;05;  12
1980;    65.600;09;   197.729;   579.806;05;  12
1981;    77.645;08;   194.628;   526.167;06;  12
1982;  -999.000;00;  -999.000;  -999.000;00;   9
1983;  -999.000;00;  -999.000;  -999.000;00;   0
1984;  -999.000;00;  -999.000;  -999.000;00;   0
1985;  -999.000;00;  -999.000;  -999.000;00;   3
1986;  -999.000;00;  -999.000;  -999.000;00;   9
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    58.300;   197.728;     6.236;       317;   646.226;   84
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    61.129;1977;    89.889;   117.871;1979;    18.275;    7
02;    68.759;1976;   101.937;   153.536;1979;    28.343;    7
03;   118.452;1982;   159.650;   202.581;1980;    29.727;    7
04;   271.933;1981;   418.843;   556.567;1980;   110.814;    7
05;   459.806;1981;   533.604;   646.226;1976;    64.009;    7
06;   271.767;1980;   397.848;   526.167;1981;   101.896;    7
07;   101.581;1980;   175.954;   213.645;1979;    42.815;    7
08;    65.871;1980;    82.078;   102.968;1977;    12.332;    7
09;    58.300;1982;    73.943;    99.000;1977;    15.623;    7
10;    74.806;1978;   107.364;   179.484;1976;    35.886;    7
11;    83.467;1976;   125.119;   170.467;1979;    35.478;    7
12;    67.097;1975;   106.512;   151.484;1979;    31.299;    7
