# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              6690100
# River:                 ARAS RIVER
# Station:               SOEYLEMEZ (MESCITLI)
# Country:               TR
# Latitude (dec. °):       39.766667
# Longitude (de. °):       41.807500
# Catchment area (km²):     2549.000
# Altitude (m.a.s.l):        1730.00
# Next d/s station:      6990700
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1977 - 1987
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1977;  -999.000;00;  -999.000;  -999.000;00;   3
1978;     6.107;02;    26.293;   115.613;05;  12
1979;     5.200;09;    21.470;    69.567;04;  12
1980;     6.241;02;    24.284;   114.667;04;  12
1981;     6.000;10;    24.098;    77.533;04;  12
1982;     5.700;11;    25.478;   103.677;05;  12
1983;     5.774;01;    18.498;    71.452;05;  12
1984;     5.613;12;    21.977;    74.100;04;  12
1985;     3.300;09;    13.997;    69.833;04;  12
1986;     3.400;09;    17.642;    63.033;04;  12
1987;  -999.000;00;  -999.000;  -999.000;00;   9
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     3.300;    22.530;     0.711;       279;   206.903;  120
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     3.839;1986;     6.371;     7.806;1982;     1.093;   10
02;     3.429;1986;     6.138;     7.429;1983;     1.193;   10
03;     6.258;1982;    11.239;    29.484;1984;     6.785;   10
04;    37.567;1983;    74.977;   114.667;1980;    19.585;   10
05;    36.065;1985;    88.626;   206.903;1987;    47.351;   10
06;    12.333;1985;    37.323;    62.367;1981;    13.373;   10
07;     5.871;1985;    11.235;    16.387;1978;     3.121;   10
08;     4.161;1985;     7.190;    10.258;1983;     2.030;   10
09;     3.300;1985;     5.820;     7.400;1978;     1.466;   10
10;     4.613;1985;     6.797;     9.323;1983;     1.424;   10
11;     5.700;1982;     7.937;    12.767;1983;     2.223;   10
12;     5.161;1985;     6.713;     8.258;1979;     1.117;   10
