# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              6691700
# River:                 GOEKSUN (TRIB. SEYHAN)
# Station:               HIMMETLI
# Country:               TR
# Latitude (dec. °):       37.900000
# Longitude (de. °):       36.083333
# Catchment area (km²):     2597.000
# Altitude (m.a.s.l):         665.00
# Next d/s station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1977 - 1987
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1977;  -999.000;00;  -999.000;  -999.000;00;   3
1978;    14.000;09;    34.654;    79.067;04;  12
1979;    13.100;09;    30.547;    76.742;01;  12
1980;    15.806;10;    46.285;   149.400;04;  12
1981;    12.516;10;    37.961;   116.581;03;  12
1982;     9.548;12;    28.895;    74.933;04;  12
1983;    10.200;09;    27.708;    83.067;04;  12
1984;    10.968;12;    24.731;    54.200;04;  12
1985;     9.833;09;    19.435;    50.133;04;  12
1986;     8.400;09;    17.775;    32.452;03;  12
1987;  -999.000;00;  -999.000;  -999.000;00;   9
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     8.400;    30.840;     0.973;       374;   149.400;  120
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    11.129;1983;    31.326;    76.742;1979;    19.492;   10
02;    14.000;1983;    34.887;    58.321;1987;    15.692;   10
03;    32.452;1986;    58.226;   116.581;1981;    27.849;   10
04;    26.633;1986;    75.477;   149.400;1980;    38.435;   10
05;    19.710;1986;    49.164;   103.387;1980;    24.167;   10
06;    16.600;1986;    26.653;    40.333;1980;     7.478;   10
07;    10.903;1986;    17.184;    26.258;1980;     4.306;   10
08;     8.774;1986;    13.710;    20.419;1980;     3.364;   10
09;     8.400;1986;    12.840;    16.700;1980;     2.673;   10
10;    10.839;1983;    13.287;    17.194;1978;     1.996;   10
11;     9.967;1982;    16.033;    27.033;1983;     4.858;   10
12;     9.548;1982;    21.290;    47.323;1981;    11.471;   10
