# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              6695500
# River:                 KARASU CAYI
# Station:               ASAGI KAGDARIC
# Country:               TR
# Latitude (dec. °):       39.950000
# Longitude (de. °):       40.766667
# Catchment area (km²):     2886.000
# Altitude (m.a.s.l):        1675.00
# Next d/s station:      6695250
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1977 - 1987
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1977;  -999.000;00;  -999.000;  -999.000;00;   3
1978;     3.867;09;    20.141;    87.645;05;  12
1979;     4.100;09;    20.783;    77.323;05;  12
1980;     4.000;09;    25.134;   106.968;05;  12
1981;     4.800;09;    18.390;    59.233;06;  12
1982;     3.000;09;    19.690;    89.387;05;  12
1983;     2.452;07;     9.825;    33.581;05;  12
1984;     4.677;12;    19.542;    85.806;05;  12
1985;     2.000;08;    17.893;    80.433;04;  12
1986;     3.645;08;    18.966;    59.194;05;  12
1987;  -999.000;00;  -999.000;  -999.000;00;   9
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     2.000;    19.822;     0.625;       217;   152.484;  120
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     4.129;1983;     5.529;     6.452;1985;     0.721;   10
02;     4.964;1982;     6.606;    10.862;1980;     1.686;   10
03;     5.774;1982;    13.061;    22.742;1980;     4.998;   10
04;    17.767;1983;    60.947;   103.833;1980;    24.902;   10
05;    33.581;1983;    82.413;   152.484;1987;    31.951;   10
06;    11.533;1985;    34.880;    59.233;1981;    15.395;   10
07;     2.452;1983;     7.274;    11.194;1981;     2.917;   10
08;     2.000;1985;     3.929;     5.677;1984;     1.120;   10
09;     2.067;1985;     3.877;     5.100;1984;     0.848;   10
10;     4.419;1983;     5.506;     7.323;1979;     0.941;   10
11;     5.700;1978;     7.857;    15.300;1979;     3.011;   10
12;     4.484;1982;     5.981;     7.516;1983;     1.083;   10
