# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              6794200
# River:                 YARMUK
# Station:               MAQARIN
# Country:               JO
# Latitude (dec. °):       32.730000
# Longitude (de. °):       35.870000
# Catchment area (km²):     5950.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      6794080
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1965 - 1975
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1965;     5.000;06;     8.667;    22.000;01;  12
1966;     4.000;05;     6.500;    16.000;12;  12
1967;     2.000;10;    11.833;    42.000;03;  12
1968;  -999.000;00;  -999.000;  -999.000;00;   9
1969;     4.000;06;    15.333;    53.000;01;  12
1970;     4.000;06;     6.083;    17.000;03;  12
1971;     4.000;06;    11.833;    44.000;04;  12
1972;     4.000;06;     5.417;    10.000;02;  12
1973;     4.000;06;     7.167;    19.000;04;  12
1974;     4.000;06;     9.833;    29.000;02;  12
1975;     4.000;04;     5.417;     9.000;02;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     2.000;     8.636;     0.272;        46;    53.000;  129
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     5.000;1975;    15.100;    53.000;1969;    14.548;   10
02;     7.000;1966;    16.200;    34.000;1969;    10.250;   10
03;     3.000;1968;    16.545;    42.000;1967;    13.640;   11
04;     4.000;1975;    12.300;    44.000;1971;    12.018;   10
05;     3.000;1968;     5.273;     7.000;1967;     1.190;   11
06;     3.000;1968;     4.273;     7.000;1967;     1.009;   11
07;     3.000;1968;     7.727;    40.000;1971;    10.789;   11
08;     4.000;1966;     4.636;     9.000;1967;     1.501;   11
09;     4.000;1968;     4.818;     9.000;1967;     1.537;   11
10;     2.000;1967;     4.818;     7.000;1966;     1.401;   11
11;     3.000;1967;     5.364;     7.000;1966;     1.361;   11
12;     4.000;1967;     8.182;    25.000;1968;     6.508;   11
