# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              6971170
# River:                 PATSOYOKI
# Station:               RAYAKOSKI GES
# Country:               RU
# Latitude (dec. °):       69.016670
# Longitude (de. °):       29.000000
# Catchment area (km²):    14600.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1956 - 1967
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1956;   116.000;12;   132.583;   161.000;03;  12
1957;    77.100;05;   122.308;   174.000;12;  12
1958;   112.000;10;   154.417;   178.000;03;  12
1959;    98.000;05;   144.000;   178.000;11;  12
1960;    63.200;11;   104.942;   172.000;01;  12
1961;    59.800;01;   110.508;   169.000;12;  12
1962;   154.000;10;   182.750;   230.000;06;  12
1963;   119.000;10;   151.750;   194.000;01;  12
1964;   127.000;04;   179.000;   346.000;09;  12
1965;   159.000;06;   215.833;   360.000;08;  12
1966;   161.000;12;   195.667;   297.000;07;  12
1967;   157.000;07;   186.250;   239.000;09;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    59.800;   156.667;     4.941;       338;   360.000;  144
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    59.800;1961;   158.400;   202.000;1966;    39.582;   12
02;    66.100;1961;   159.592;   206.000;1966;    40.009;   12
03;    79.800;1961;   158.050;   220.000;1962;    42.928;   12
04;    84.400;1960;   146.492;   220.000;1965;    48.896;   12
05;    66.700;1961;   134.550;   199.000;1965;    42.473;   12
06;   115.000;1957;   154.167;   230.000;1962;    34.004;   12
07;   109.000;1957;   158.750;   297.000;1966;    53.018;   12
08;   116.000;1960;   171.333;   360.000;1965;    69.420;   12
09;    96.700;1960;   177.058;   346.000;1964;    84.518;   12
10;    79.500;1960;   148.875;   239.000;1964;    41.317;   12
11;    63.200;1960;   157.267;   223.000;1965;    42.439;   12
12;    63.700;1960;   155.475;   180.000;1967;    35.301;   12
