# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              4208100
# River:                 RAMPARTS RIVER
# Station:               NEAR FORT GOOD HOPE
# Country:               CA
# Latitude (dec. °):       66.112221
# Longitude (de. °):     -129.275284
# Catchment area (km²):     7410.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      4208025
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1985 - 1996
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1985;     1.000;03;    36.533;   153.000;05;  12
1986;     1.000;02;    39.975;   147.000;06;  12
1987;     1.000;03;    40.425;   142.000;06;  12
1988;     0.000;03;    39.800;   136.000;09;  12
1989;     1.000;03;    44.233;   152.000;06;  12
1990;     1.000;03;    57.333;   283.000;06;  12
1991;     1.000;04;    47.267;   226.000;05;  12
1992;     1.000;03;    37.634;   259.000;06;  12
1993;     0.000;03;    38.633;   188.000;05;  12
1994;  -999.000;00;  -999.000;  -999.000;00;   0
1995;  -999.000;00;  -999.000;  -999.000;00;   0
1996;  -999.000;00;  -999.000;  -999.000;00;   2
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     0.000;    47.684;     1.504;       203;   662.000;  110
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     1.000;1993;     2.333;     3.000;1987;     0.707;    9
02;     1.000;1986;     1.667;     2.000;1985;     0.500;    9
03;     0.000;1988;     0.927;     2.000;1991;     0.578;   10
04;     0.000;1988;     0.778;     1.000;1985;     0.440;    9
05;   104.000;1992;   197.000;   662.000;1996;   167.615;   10
06;    78.600;1988;   161.067;   283.000;1990;    67.274;    9
07;    23.300;1987;    48.733;    71.600;1991;    16.373;    9
08;    26.000;1992;    51.989;   105.000;1986;    26.030;    9
09;    10.700;1992;    58.600;   136.000;1988;    35.560;    9
10;     5.210;1992;    25.834;    44.200;1987;    13.211;    9
11;     3.000;1992;     7.889;    14.000;1987;     3.655;    9
12;     2.000;1992;     4.000;     6.000;1990;     1.322;    9
