# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              4208310
# River:                 REDSTONE RIVER
# Station:               NEAR THE MOUTH
# Country:               CA
# Latitude (dec. °):       64.180000
# Longitude (de. °):     -124.660000
# Catchment area (km²):    16400.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      4208150
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1963 - 1974
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1963;  -999.000;00;  -999.000;  -999.000;00;   3
1964;  -999.000;00;  -999.000;  -999.000;00;   9
1965;  -999.000;00;  -999.000;  -999.000;00;   8
1966;  -999.000;00;  -999.000;  -999.000;00;   7
1967;  -999.000;00;  -999.000;  -999.000;00;   4
1968;  -999.000;00;  -999.000;  -999.000;00;   6
1969;  -999.000;00;  -999.000;  -999.000;00;   8
1970;  -999.000;00;  -999.000;  -999.000;00;   5
1971;  -999.000;00;  -999.000;  -999.000;00;   8
1972;    11.000;02;   102.704;   388.667;07;  10
1973;  -999.000;00;  -999.000;  -999.000;00;   8
1974;  -999.000;00;  -999.000;  -999.000;00;   6
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     7.250;   157.649;     4.972;       303;   580.000;   82
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    12.000;1972;    21.050;    38.000;1964;     8.300;    7
02;     7.250;1966;    14.972;    27.000;1964;     5.401;    9
03;    10.600;1966;    14.700;    25.000;1964;     4.810;    7
04;    12.775;1972;  -999.000;    36.000;1969;  -999.000;    4
05;   117.000;1969;   299.105;   447.333;1966;   113.167;    6
06;   263.000;1969;  -999.000;   531.000;1971;  -999.000;    5
07;   283.200;1973;   424.896;   545.000;1968;    80.585;    8
08;   197.000;1965;   320.876;   580.000;1974;   127.669;    7
09;   152.500;1964;   202.313;   308.000;1968;    55.594;    8
10;    84.600;1972;   122.214;   177.308;1968;    31.113;    9
11;    32.800;1964;  -999.000;    79.000;1973;  -999.000;    5
12;    24.000;1971;    34.114;    51.000;1963;     8.666;    7
