# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              4208385
# River:                 WILLOWLAKE RIVER
# Station:               BELOW METAHDALI CREEK
# Country:               CA
# Latitude (dec. °):       62.650000
# Longitude (de. °):     -122.900000
# Catchment area (km²):    20500.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      4208150
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1963 - 1974
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1963;  -999.000;00;  -999.000;  -999.000;00;   0
1964;     5.000;04;    63.442;   294.000;05;  12
1965;     4.000;12;    56.808;   232.000;05;  12
1966;     2.000;03;    41.108;   201.000;06;  12
1967;     6.000;02;    71.642;   419.000;05;  12
1968;     4.000;04;    53.767;   216.000;06;  12
1969;     4.000;03;    54.000;   306.000;05;  12
1970;     5.000;02;    84.983;   199.000;07;  12
1971;     5.000;12;    73.508;   510.000;05;  12
1972;     3.000;03;    61.275;   313.000;05;  12
1973;     3.000;02;    60.317;   397.000;05;  12
1974;     3.000;02;    61.375;   320.000;05;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     2.000;    62.020;     1.956;        95;   510.000;  132
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;     3.000;1966;     7.182;    14.000;1971;     3.709;   11
02;     3.000;1966;     5.545;    12.000;1971;     2.696;   11
03;     2.000;1966;     4.727;     9.000;1971;     2.053;   11
04;     2.000;1966;    11.636;    69.000;1965;    19.309;   11
05;   111.000;1968;   291.182;   510.000;1971;   124.343;   11
06;    98.300;1973;   180.573;   263.000;1967;    47.105;   11
07;    36.500;1971;    81.164;   199.000;1970;    42.904;   11
08;    19.800;1968;    54.391;   164.000;1970;    39.205;   11
09;    18.800;1967;    51.855;   138.000;1970;    38.261;   11
10;    14.300;1972;    33.445;    96.800;1970;    23.786;   11
11;     4.000;1973;    13.727;    30.000;1970;     7.444;   11
12;     4.000;1965;     8.818;    19.000;1970;     4.556;   11
