# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              4208591
# River:                 PARSNIP RIVER
# Station:               NEAR FINLAY FORKS
# Country:               CA
# Latitude (dec. °):       55.840000
# Longitude (de. °):     -123.760000
# Catchment area (km²):    20300.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      4208550
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1957 - 1968
# No. of years:          12
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1957;  -999.000;00;  -999.000;  -999.000;00;   2
1958;    94.600;08;   343.860;  1390.000;05;  10
1959;    79.000;03;   439.800;  1400.000;06;  10
1960;  -999.000;00;  -999.000;  -999.000;00;   9
1961;    80.000;12;   352.000;  1290.000;05;  12
1962;    65.000;03;   339.083;   988.000;06;  12
1963;    99.000;01;   346.333;  1130.000;05;  12
1964;    80.000;01;   516.167;  2240.000;06;  12
1965;    90.000;01;   344.833;  1290.000;06;  12
1966;    62.000;03;   406.667;  1350.000;05;  12
1967;    72.000;03;   421.000;  1750.000;06;  12
1968;  -999.000;00;  -999.000;  -999.000;00;   3
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    62.000;   389.764;    12.292;       605;  2240.000;  118
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    70.000;1966;    95.889;   117.000;1959;    17.453;    9
02;    68.000;1966;    99.800;   132.000;1968;    21.196;   10
03;    62.000;1966;    95.193;   169.929;1968;    31.388;   10
04;   118.000;1964;   241.067;   433.600;1960;   112.911;    9
05;   777.000;1962;  1148.100;  1390.000;1958;   194.436;   10
06;   788.000;1958;  1283.600;  2240.000;1964;   434.255;   10
07;   204.000;1958;   479.200;   846.000;1964;   182.201;   10
08;    92.000;1961;   237.260;   591.000;1964;   146.687;   10
09;   104.000;1965;   227.700;   362.000;1959;    80.738;   10
10;   168.000;1957;   331.273;   463.000;1960;    75.420;   11
11;   128.000;1958;   249.000;   435.000;1962;    82.795;   10
12;    80.000;1961;   124.111;   206.000;1962;    40.119;    9
