# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              4208785
# River:                 SOUTH HEART RIVER
# Station:               NEAR HIGH PRAIRIE
# Country:               CA
# Latitude (dec. °):       55.530000
# Longitude (de. °):     -116.480000
# Catchment area (km²):     4240.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      4208793
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1921 - 1930
# No. of years:          10
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1921;  -999.000;00;  -999.000;  -999.000;00;   7
1922;  -999.000;00;  -999.000;  -999.000;00;   7
1923;  -999.000;00;  -999.000;  -999.000;00;   8
1924;  -999.000;00;  -999.000;  -999.000;00;   7
1925;  -999.000;00;  -999.000;  -999.000;00;   7
1926;  -999.000;00;  -999.000;  -999.000;00;   8
1927;  -999.000;00;  -999.000;  -999.000;00;   7
1928;  -999.000;00;  -999.000;  -999.000;00;   8
1929;  -999.000;00;  -999.000;  -999.000;00;   7
1930;  -999.000;00;  -999.000;  -999.000;00;   7
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     0.000;    13.012;     0.410;        97;    68.700;   73
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;  -999.000;0;  -999.000;  -999.000;0;  -999.000;    0
02;  -999.000;0;  -999.000;  -999.000;0;  -999.000;    0
03;     0.000;1923;  -999.000;     0.000;1923;  -999.000;    3
04;     1.000;1924;    16.789;    31.000;1925;     9.801;   10
05;     7.900;1924;    23.230;    41.800;1922;    10.406;   10
06;     3.340;1924;    22.143;    68.700;1930;    20.077;   10
07;     3.220;1922;    14.678;    52.800;1927;    14.799;   10
08;     0.780;1922;     7.003;    18.800;1929;     5.702;   10
09;     0.830;1922;     6.248;    13.000;1924;     5.060;   10
10;     0.530;1923;     4.895;    11.900;1929;     4.024;   10
11;  -999.000;0;  -999.000;  -999.000;0;  -999.000;    0
12;  -999.000;0;  -999.000;  -999.000;0;  -999.000;    0
