# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              5870111
# River:                 WAIRAU
# Station:               BARNETTS BANK
# Country:               NZ
# Latitude (dec. °):      -41.438615
# Longitude (de. °):      173.959647
# Catchment area (km²):     3430.000
# Altitude (m.a.s.l):           2.00
# Next d/s station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1999 - 2009
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1999;  -999.000;00;  -999.000;  -999.000;00;   5
2000;    19.674;03;   108.338;   206.584;10;  12
2001;     5.965;03;    81.988;   272.397;12;  12
2002;    27.487;04;    75.738;   158.090;06;  12
2003;    16.926;03;    76.131;   206.294;10;  12
2004;    24.987;04;   104.579;   224.633;06;  12
2005;    17.432;12;    45.666;    79.461;07;  12
2006;    11.281;03;    80.935;   204.860;11;  12
2007;    11.547;04;    65.042;   315.848;10;  12
2008;    20.827;06;    98.541;   202.267;09;  12
2009;    31.326;01;    78.737;   144.881;10;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
     5.965;    82.675;     2.607;       760;   315.848;  125
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    31.326;2009;    55.436;    89.603;2000;    21.203;   10
02;    11.318;2001;    40.902;   122.907;2004;    31.716;   10
03;     5.965;2001;    33.176;    70.177;2005;    23.700;   10
04;    11.547;2007;    58.680;   167.917;2006;    54.097;   10
05;    27.935;2008;    67.750;   108.419;2006;    27.636;   10
06;    20.827;2008;   109.142;   224.633;2004;    65.088;   10
07;    24.158;2001;    84.184;   163.968;2000;    42.558;   10
08;    37.035;2003;    86.519;   191.319;2008;    45.196;   11
09;    33.857;2005;    98.710;   202.267;2008;    58.313;   11
10;    30.171;2005;   147.390;   315.848;2007;    81.413;   11
11;    18.790;2005;   115.878;   275.987;1999;    81.564;   11
12;    17.432;2005;    82.563;   272.397;2001;    69.333;   11
