# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              3469200
# River:                 TACUAREMBO
# Station:               PASO DE LA LAGUNA
# Country:               UY
# Latitude (dec. °):      -32.230000
# Longitude (de. °):      -55.400000
# Catchment area (km²):    14038.000
# Altitude (m.a.s.l):        -999.00
# Next d/s station:      3469100
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1978 - 1988
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1978;    49.871;01;   198.428;   468.968;08;  12
1979;    15.500;02;   128.709;   475.194;10;  12
1980;    19.310;02;   254.016;   664.645;10;  12
1981;    21.258;12;   234.497;   485.867;09;  11
1982;    15.742;01;   221.114;   535.300;09;  12
1983;    16.258;01;   259.809;   643.419;07;  12
1984;    24.129;12;   315.094;  1195.267;06;  11
1985;    10.903;01;   265.649;   740.806;08;  12
1986;    23.903;01;   289.190;   766.433;11;  11
1987;    17.727;03;   246.658;   587.355;08;  10
1988;    15.452;12;   161.655;   565.115;01;  12
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
    10.903;   232.801;     7.342;       523;  1195.267;  127
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;    10.903;1985;    89.959;   565.115;1988;   179.252;    9
02;    11.357;1985;   121.628;   302.840;1988;   107.677;   11
03;    17.727;1987;   145.613;   534.806;1983;   172.092;   11
04;    16.567;1982;   235.216;   633.700;1980;   242.312;   11
05;    29.645;1988;   239.288;   480.667;1986;   156.038;   11
06;    19.231;1988;   316.919;  1195.267;1984;   329.204;   11
07;    42.968;1979;   314.613;   643.419;1983;   202.161;   10
08;    94.645;1979;   352.663;   740.806;1985;   200.294;   11
09;    46.067;1980;   266.470;   546.500;1985;   189.157;   10
10;    66.161;1981;   322.334;   664.645;1980;   177.763;   11
11;    29.567;1988;   257.393;   766.433;1986;   211.248;   11
12;    12.129;1985;   104.367;   278.387;1978;   100.047;   10
