# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Date format:           YYYY-MM-DD; YYYY-MM; YYYY; MM
# Field delimiter:       ;
#
# file generation data:  2013-08-26
#
# GRDC-No.:              3629390
# River:                 RIO JURUENA
# Station:               FOZ DO JURUENA
# Country:               BR
# Latitude (dec. °):       -7.731100
# Longitude (de. °):      -58.280800
# Catchment area (km²):   182000.000
# Altitude (m.a.s.l):         123.00
# Next d/s station:      3629150
# Remarks:               
#************************************************************
#
# Data Set Content:      MONTHLY PRIMARY VALUES
#                        ----------------------
# Unit:                  m³/s
# Time series:           1986 - 1996
# No. of years:          11
#
# Consists of 3 tables of statistics based on mean daily discharges
#     - for each single year
#     - for the entire period
#     - for each month over the entire period
#
# Aggregation thresholds:
#    nD = 10 (max. number of missing days allowed to calculate a monthly value)
#    nM = 2  (max. number of missing months allowed for a year to be considered)
#    nY = 5  (min. number of years for aggregation over the entire period)
#
#
# TABLES
#
# For INDIVIDUAL YEARS (n records, one per year)
#   LQ:    lowest monthly discharge of the given year
#   month: associated month of occurrence
#   MQ:    mean discharge of all monthly discharges in the given year
#   HQ:    highest monthly discharge of the given year
#   month: associated month of occurrence
#   n:    number of available values used for MQ calculation
#
year;LQ;month;MQ;;HQ;month;m
1986;  -999.000;00;  -999.000;  -999.000;00;   1
1987;  2067.484;10;  4113.086;  7467.097;03;  12
1988;  2270.600;09;  4928.166;  9408.064;03;  12
1989;  2496.968;10;  5470.469;  9657.097;03;  12
1990;  2313.323;08;  4625.469;  9303.839;03;  12
1991;   459.645;08;   841.117;  1397.140;04;  12
1992;   321.100;09;   783.581;  1381.242;03;  12
1993;  2168.967;09;  4142.273;  7807.607;02;  12
1994;  2240.000;09;  4648.095;  8636.193;03;  12
1995;  -999.000;00;  -999.000;  -999.000;00;   2
1996;  -999.000;00;  -999.000;  -999.000;00;   1
#
#
# For ENTIRE PERIOD
# Calculated only from years with less than 2 months missing
#
#   LQ:   lowest monthly discharge from the entire period
#   MQ_1: mean discharge of all monthly discharges in the period [m³/s]
#   MQ_2: mean discharge volume per year of all monthly discharges in the period [km³/a]
#   MQ_3: mean runoff per year of all monthly discharges in the period [mm/a]
#   HQ:   highest monthly discharge from the entire periode
#   n:    number of available months used for MQ calculation
#
LQ;MQ_1;MQ_2;MQ_3;HQ;n
   321.100;  3778.192;   119.149;       655;  9657.097;  100
#
#
# For EACH MONTH of the year (12 records covering max. n years)
# Calculated only for months with <= 10 missing days
#
#   month: month (1=January)
#   LQ:    lowest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   MQ:    mean discharge from all monthly discharges of the given month in the entire period
#   HQ:    highest monthly discharge of the given month in the entire period
#   year:  associated year of occurrence (only the first occurence is listed)
#   std:   standard deviation of all monthly discharges of the given month in the entire period
#   n:     number of available daily values used for computation
#
month;LQ;year;MQ;HQ;year;std;n
01;   936.539;1992;  5129.147;  7376.387;1990;  2437.648;    9
02;  1237.961;1991;  6189.991;  9166.107;1989;  2718.052;   10
03;  1326.242;1991;  6868.355;  9657.097;1989;  3490.264;    8
04;  1129.603;1992;  6022.726;  9155.866;1989;  3096.947;    8
05;   784.603;1992;  4204.436;  7122.097;1989;  2268.163;    8
06;   618.957;1992;  2788.918;  4160.500;1989;  1394.052;    8
07;   509.429;1992;  2224.677;  3406.774;1989;  1096.449;    8
08;   418.274;1992;  1901.945;  2828.064;1989;   926.886;    8
09;   321.100;1992;  1800.507;  2535.767;1989;   874.105;    8
10;   443.310;1992;  1894.244;  2590.806;1990;   875.995;    8
11;   676.783;1992;  2287.494;  3172.033;1989;  1007.032;    8
12;   771.203;1991;  3312.280;  4918.613;1989;  1478.495;    9
