grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos
1201100,1,1,101,,MEJERDA,GHARDIMAOU,TN,36.270,8.430,   1480.  ,192,1201500,0,,,,,1976,1979,4,0.00,1976,1979,4,      3.02,       .1 ,64,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1201150,1,1,101,,MELLEGUE,K13,TN,36.120,8.500,   9000.  ,327,1201500,0,,,,,1976,1979,4,0.00,1976,1979,4,      4.67,       .15,16,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1201500,1,1,101,,MEJERDA,SLOUGHIA,TN,36.580,9.520,  20895.  ,67,0,0,,,,,1976,1979,4,0.00,1976,1979,4,     18.29,       .58,28,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0
1304100,1,4,104,169/2,EMSA,EMSA,MA,35.520,-5.300,    110.  ,5,0,0,1971,1988,18,0.00,1971,1988,18,0.00,1971,1988,18,       .69,       .02,198, 88.9,100. ,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0
1104150,1,4,104,,CHELIF,SIDI BELATAR,DZ,36.020,0.270,  43750.  ,2,0,0,1978,2001,24,58.35,1976,1977,2,0.00,1976,2001,26,     17.42,       .55,13, 38.5, 99.2,18.2.1992,1992,9.8.2005,2005,-999,0,1,0,1,1,0,1,0,0
1104200,1,4,104,,MINA,OUED EL-ABTAL,DZ,35.500,0.680,   6635.  ,205,1104150,0,,,,,1976,1978,3,0.00,1976,1978,3,      2.58,       .08,12, 66.7,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104300,1,4,104,,RHIOU,AMMI MOUSSA,DZ,35.870,1.120,   2398.  ,140,1104150,0,,,,,1976,1979,4,0.00,1976,1979,4,      3.23,       .1 ,42,100. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104450,1,4,104,,MAZAFRAN,FER A CHEVAL,DZ,36.670,2.820,   1912.  ,10,0,0,1979,1995,17,0.03,1976,1978,3,0.00,1976,1995,20,      3.72,       .12,61, 90. ,100. ,18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,0,0,0,0,0
1104480,1,4,104,,BOUDOUAOU,KEDDARA,DZ,36.650,3.420,    829.  ,60,1104500,0,,,,,1976,1979,4,0.00,1976,1979,4,       .36,       .01,14, 75. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
1104500,1,4,104,,ISSER,LAKHDARIA,DZ,36.620,3.580,   4149.  ,90,0,0,,,,,1976,1979,4,0.00,1976,1979,4,      6.47,       .2 ,49, 75. ,100. ,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0
